era,species,num_legs,num_arms,symmetry,diet,skin_type,eyes,eye_position,size_m,oxygen_pct,nitrogen_pct,uv_level,humidity,water_presence
modern,elephant,4,0,bilateral,herbivore,skin,2,side,3.5,21.0,78.0,medium,medium,high
modern,housefly,6,0,bilateral,herbivore,exoskeleton,2,around,0.005,21.0,78.0,medium,high,none
modern,frog,4,0,bilateral,carnivore,moist skin,2,front,0.1,21.0,78.0,high,high,high
modern,hawk,2,2,bilateral,carnivore,feathers,2,front,0.6,21.0,78.0,high,medium,medium
modern,shark,0,0,bilateral,carnivore,scales,2,side,2.5,21.0,78.0,medium,high,high
jurassic,Allosaurus,2,2,bilateral,carnivore,scales,2,front,9.0,28.0,70.0,high,medium,medium
jurassic,Compsognathus,2,2,bilateral,carnivore,scales,2,front,0.9,28.0,70.0,high,medium,medium
jurassic,Cryolophosaurus,2,2,bilateral,carnivore,scales,2,front,6.0,28.0,70.0,high,medium,medium
jurassic,Cetiosaurus,4,0,bilateral,herbivore,scales,2,side,12.0,28.0,70.0,high,high,high
jurassic,Megalosaurus,2,2,bilateral,carnivore,scales,2,front,6.0,28.0,70.0,high,medium,medium
modern,octopus,0,8,radial,carnivore,soft skin,2,front,0.3,21.0,78.0,medium,high,high
modern,cobra,0,0,bilateral,carnivore,scales,2,front,1.5,21.0,78.0,medium,medium,medium
modern,chameleon,4,0,bilateral,insectivore,scales,2,front,0.3,21.0,78.0,medium,medium,medium
modern,emperor_penguin,2,2,bilateral,carnivore,feathers,2,front,1.1,21.0,78.0,low,high,high
modern,blue_whale,0,0,bilateral,carnivore,blubber,2,side,25.0,21.0,78.0,low,high,high
modern,kangaroo,2,2,bilateral,herbivore,fur,2,front,1.6,21.0,78.0,medium,medium,medium
modern,giraffe,4,0,bilateral,herbivore,fur,2,side,5.5,21.0,78.0,medium,medium,medium
modern,wolf,4,0,bilateral,carnivore,fur,2,front,1.3,21.0,78.0,medium,medium,medium
modern,camel,4,0,bilateral,herbivore,fur,2,side,2.2,21.0,78.0,high,low,low
modern,zebra,4,0,bilateral,herbivore,fur,2,side,2.3,21.0,78.0,high,medium,medium
jurassic,Stegosaurus,4,0,bilateral,herbivore,scales+plates,2,side,9.0,28.0,70.0,high,medium,medium
jurassic,Diplodocus,4,0,bilateral,herbivore,scales,2,side,27.0,28.0,70.0,high,high,high
jurassic,Velociraptor,2,2,bilateral,carnivore,feathers,2,front,2.0,28.0,70.0,high,medium,medium
jurassic,Brachiosaurus,4,0,bilateral,herbivore,scales,2,side,22.0,28.0,70.0,high,high,high
jurassic,Ankylosaurus,4,0,bilateral,herbivore,scutes,2,side,6.0,28.0,70.0,high,medium,medium
jurassic,Pteranodon,2,2,bilateral,carnivore,membrane wings,2,front,1.8,28.0,70.0,high,medium,medium
jurassic,Ichthyosaurus,0,0,bilateral,carnivore,scales,2,side,2.5,28.0,70.0,high,high,high
jurassic,Rhamphorhynchus,2,2,bilateral,carnivore,membrane wings,2,front,1.0,28.0,70.0,high,medium,medium
jurassic,Archaeopteryx,2,2,bilateral,carnivore,feathers,2,front,0.5,28.0,70.0,high,medium,medium
jurassic,Plesiosaurus,0,4,bilateral,carnivore,scales,2,side,3.5,28.0,70.0,high,high,high
